Date,Observer,Group,Focal_ID,Focal_Fatness,Time,minutes,EA ,FO,TR,RE,SO,AM,AF,JV,AL,Notes,,,,,,,,,
7/17/23,Jacob,A,AM,1,8:43 AM,5,0.600,0.200,0.200,0.000,0.000,0.200,0.000,0.000,0.800,NN AM is grade 1 ,,,,,,,,,
7/20/23,Jilly,A,AM,1,8:50 AM,5,0.200,0.800,0.000,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/26/23,Jilly,A,AM,1,11:24 AM,10,0.000,0.100,0.600,0.200,0.100,0.000,0.200,0.000,0.800,,,,,,,,,,
7/27/23,Jacob,A,AM,1,8:50 AM,10,0.200,0.200,0.000,0.600,0.000,0.000,0.300,0.100,0.600,Eating anajá,,,,,,,,,
7/27/23,Jilly,A,AM,1,12:54 PM,7,0.000,0.140,0.420,0.420,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/27/23,Jilly,A,AM,1,2:05 AM,10,0.000,0.000,0.500,0.400,0.100,0.500,0.400,0.100,0.000,,,,,,,,,,
7/29/23,Jilly,A,AM,1,8:30 AM,6,0.330,0.000,0.500,0.170,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
7/29/23,Jilly,A,AM,1,9:41 AM,6,0.000,0.170,0.500,0.170,0.170,0.500,0.170,0.000,0.330,,,,,,,,,,
7/29/23,Jilly,A,AM,1,10:50 AM,8,0.000,0.250,0.500,0.250,0.000,0.500,0.000,0.000,0.500,,,,,,,,,,
8/3/23,Jilly,A,AM,1,8:44 AM,10,0.400,0.500,0.100,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
8/3/23,Jilly,A,AM,1,9:40 AM,10,0.000,0.400,0.500,0.100,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/4/23,Jacob,A,AM,1,9:47 AM,10,0.100,0.400,0.400,0.100,0.000,0.200,0.000,0.000,0.800,NN AM is grade 2 scar face male,,,,,,,,,
8/5/23,Jilly,A,AM,1,8:33 AM,10,0.600,0.200,0.100,0.100,0.000,0.400,0.400,0.000,0.200,,,,,,,,,,
8/5/23,Jilly,A,AM-SCAR2,1,11:03 AM,8,0.130,0.500,0.380,0.000,0.000,0.250,0.130,0.000,0.630,,,,,,,,,,
8/10/23,Jilly,A,AM,1,9:59 AM,5,0.000,0.600,0.400,0.000,0.000,0.000,0.200,0.200,0.600,,,,,,,,,,
7/17/23,Anita,B,AM,1,11:26 AM,5,0.400,0.200,0.400,0.000,0.000,0.000,0.000,0.400,0.600,,,,,,,,,,
7/18/23,Jilly,B,AM,1,9:49 AM,9,0.000,0.560,0.330,0.110,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/18/23,Jilly,B,AM,1,11:52 AM,6,0.000,0.000,0.000,1.000,0.000,0.000,0.330,0.000,0.670,,,,,,,,,,
7/18/23,Jilly,B,AM,1,12:18 PM,5,0.400,0.200,0.400,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/19/23,Jilly,B,AM,1,10:54 AM,8,0.130,0.750,0.130,0.000,0.000,0.380,0.380,0.000,0.250,,,,,,,,,,
7/25/23,Jilly,B,AM,1,9:00 AM,6,0.000,0.500,0.330,0.170,0.000,0.000,0.330,0.000,0.670,,,,,,,,,,
7/28/23,Jacob,B,AM,1,9:42 AM,7,0.290,0.430,0.290,0.000,0.000,0.000,0.290,0.140,0.570,Eating and foraging anajá,,,,,,,,,
7/28/23,Jacob,B,AM,1,11:41 AM,5,0.000,0.400,0.200,0.400,0.000,0.000,0.200,0.000,0.800,,,,,,,,,,
7/28/23,Jilly,B,AM,1,10:35 AM,10,0.300,0.400,0.000,0.300,0.000,0.500,0.200,0.200,0.100,,,,,,,,,,
8/1/23,Jacob,B,AM,1,8:55 AM,7,0.140,0.570,0.140,0.140,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/1/23,Jacob,B,AM,1,10:37 AM,10,0.200,0.500,0.300,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/30/24,Vanessa,B,AM2,1,7:48 AM,10,0.300,0.000,0.200,0.500,0.000,0.000,0.300,0.000,0.700,,,,,,,,,,
8/6/24,Vanessa,B,AM2,1,11:09 AM,10,0.000,0.100,0.200,0.700,0.000,0.000,0.200,0.800,0.000,,,,,,,,,,
7/24/24,Landon,B,AM2,1,10:58 AM,8,0.000,0.125,0.500,0.375,0.000,0.000,0.625,0.125,0.250,GI and PU in between minute marks,,,,,,,,,
7/29/24,Landon,B,AM2,1,9:55 AM,7,0.000,0.143,0.571,0.000,0.286,0.000,0.429,0.286,0.286,"2 pursuits, she avoided",,,,,,,,,
8/4/24,Landon,B,AM2,1,9:07 AM,5,0.000,0.200,0.600,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/23/24,Bella,B,AM2,1,9:42 AM,9,0.000,0.110,0.670,0.220,0.000,0.000,0.670,0.000,0.330,,,,,,,,,,
7/28/24,Bella,B,AM2,1,11:19 AM,10,0.000,0.000,0.900,0.100,0.000,0.000,0.500,0.000,0.500,,,,,,,,,,
